TransactionRef,Swiftref,TradeType,TradeStatus,SettlementStatus,Quantity,Amount,ValueDate,TradeDate,Open Quantity,Open Amount,Security ISIN,Balance_Pool,Trade Type (Buy/Sell),Department
500204,CP500204W6,PRINCIPLE,NEW,SETTLED,254000,381000,22-Jul,20-Jul,254000,381000,IN000204,700001204,Buy,C
500205,CP500205W7,PRINCIPLE,NEW,SETTLED,255000,382500,23-Jul,21-Jul,255000,382500,IN000205,700001205,Sell,A
500206,CP500206W8,PRINCIPLE,NEW,SETTLED,256000,384000,23-Jul,21-Jul,256000,384000,US000206,700001206,Buy,B
500207,CP500207W9,PRINCIPLE,NEW,SETTLED,257000,385500,24-Jul,22-Jul,257000,385500,US000207,700001207,Sell,C
500208,CP500208X1,PRINCIPLE,NEW,SETTLED,258000,387000,24-Jul,22-Jul,258000,387000,EU000208,700001208,Buy,A
500209,CP500209X2,PRINCIPLE,NEW,SETTLED,259000,388500,25-Jul,23-Jul,259000,388500,EU000209,700001209,Sell,B
500210,CP500210X3,PRINCIPLE,NEW,SETTLED,260000,390000,25-Jul,23-Jul,260000,390000,IN000210,700001210,Buy,C
500211,CP500211X4,PRINCIPLE,NEW,SETTLED,261000,391500,26-Jul,24-Jul,261000,391500,IN000211,700001211,Sell,A
500212,CP500212X5,PRINCIPLE,NEW,SETTLED,262000,393000,26-Jul,24-Jul,262000,393000,US000212,700001212,Buy,B
500213,CP500213X6,PRINCIPLE,NEW,SETTLED,263000,394500,22-Jul,20-Jul,263000,394500,US000213,700001213,Sell,C
500214,CP500214X7,PRINCIPLE,NEW,SETTLED,264000,396000,22-Jul,20-Jul,264000,396000,EU000214,700001214,Buy,A
500215,CP500215X8,PRINCIPLE,NEW,SETTLED,265000,397500,21-Jul,19-Jul,265000,397500,EU000215,700001215,Sell,B
500216,CP500216X9,PRINCIPLE,NEW,SETTLED,266000,399000,21-Jul,19-Jul,266000,399000,IN000216,700001216,Buy,C
500217,CP500217Y1,PRINCIPLE,NEW,SETTLED,267000,400500,22-Jul,20-Jul,267000,400500,IN000217,700001217,Sell,A
500218,CP500218Y2,PRINCIPLE,NEW,SETTLED,268000,402000,22-Jul,20-Jul,268000,402000,US000218,700001218,Buy,B
500219,CP500219Y3,PRINCIPLE,NEW,SETTLED,269000,403500,23-Jul,21-Jul,269000,403500,US000219,700001219,Sell,C
500220,CP500220Y4,PRINCIPLE,NEW,SETTLED,270000,405000,23-Jul,21-Jul,270000,405000,EU000220,700001220,Buy,A
500221,CP500221Y5,PRINCIPLE,NEW,SETTLED,271000,406500,24-Jul,22-Jul,271000,406500,EU000221,700001221,Sell,B
500222,CP500222Y6,PRINCIPLE,NEW,SETTLED,272000,408000,24-Jul,22-Jul,272000,408000,IN000222,700001222,Buy,C
500223,CP500223Y7,PRINCIPLE,NEW,SETTLED,273000,409500,25-Jul,23-Jul,273000,409500,IN000223,700001223,Sell,A
500224,CP500224Y8,PRINCIPLE,NEW,SETTLED,274000,411000,25-Jul,23-Jul,274000,411000,US000224,700001224,Buy,B
500225,CP500225Y9,PRINCIPLE,NEW,SETTLED,275000,412500,26-Jul,24-Jul,275000,412500,US000225,700001225,Sell,C
500226,CP500226Z1,PRINCIPLE,NEW,SETTLED,276000,414000,26-Jul,24-Jul,276000,414000,EU000226,700001226,Buy,A
500227,CP500227Z2,PRINCIPLE,NEW,SETTLED,277000,415500,22-Jul,20-Jul,277000,415500,EU000227,700001227,Sell,B
500228,CP500228Z3,PRINCIPLE,NEW,SETTLED,278000,417000,22-Jul,20-Jul,278000,417000,IN000228,700001228,Buy,C
500229,CP500229Z4,PRINCIPLE,NEW,SETTLED,279000,418500,21-Jul,19-Jul,279000,418500,IN000229,700001229,Sell,A
500230,CP500230Z5,PRINCIPLE,NEW,SETTLED,280000,420000,21-Jul,19-Jul,280000,420000,US000230,700001230,Buy,B
500231,CP500231Z6,PRINCIPLE,NEW,SETTLED,281000,421500,22-Jul,20-Jul,281000,421500,US000231,700001231,Sell,C
500232,CP500232Z7,PRINCIPLE,NEW,SETTLED,282000,423000,22-Jul,20-Jul,282000,423000,EU000232,700001232,Buy,A
500233,CP500233Z8,PRINCIPLE,NEW,SETTLED,283000,424500,23-Jul,21-Jul,283000,424500,EU000233,700001233,Sell,B
500234,CP500234Z9,PRINCIPLE,NEW,SETTLED,284000,426000,23-Jul,21-Jul,284000,426000,IN000234,700001234,Buy,C
500235,CP500235A10,PRINCIPLE,NEW,SETTLED,285000,427500,24-Jul,22-Jul,285000,427500,IN000235,700001235,Sell,A
500236,CP500236A11,PRINCIPLE,NEW,SETTLED,286000,429000,24-Jul,22-Jul,286000,429000,US000236,700001236,Buy,B
500237,CP500237A12,PRINCIPLE,NEW,SETTLED,287000,430500,25-Jul,23-Jul,287000,430500,US000237,700001237,Sell,C
500238,CP500238A13,PRINCIPLE,NEW,SETTLED,288000,432000,25-Jul,23-Jul,288000,432000,EU000238,700001238,Buy,A
500239,CP500239A14,PRINCIPLE,NEW,SETTLED,289000,433500,26-Jul,24-Jul,289000,433500,EU000239,700001239,Sell,B
500240,CP500240A15,PRINCIPLE,NEW,SETTLED,290000,435000,26-Jul,24-Jul,290000,435000,IN000240,700001240,Buy,C
500241,CP500241A16,PRINCIPLE,NEW,SETTLED,291000,436500,22-Jul,20-Jul,291000,436500,IN000241,700001241,Sell,A
500242,CP500242A17,PRINCIPLE,NEW,SETTLED,292000,438000,22-Jul,20-Jul,292000,438000,US000242,700001242,Buy,B
500243,CP500243A18,PRINCIPLE,NEW,SETTLED,293000,439500,21-Jul,19-Jul,293000,439500,US000243,700001243,Sell,C
500244,CP500244A19,PRINCIPLE,NEW,SETTLED,294000,441000,21-Jul,19-Jul,294000,441000,EU000244,700001244,Buy,A
500245,CP500245A20,PRINCIPLE,NEW,SETTLED,295000,442500,22-Jul,20-Jul,295000,442500,EU000245,700001245,Sell,B
500246,CP500246A21,PRINCIPLE,NEW,SETTLED,296000,444000,22-Jul,20-Jul,296000,444000,IN000246,700001246,Buy,C
500247,CP500247A22,PRINCIPLE,NEW,SETTLED,297000,445500,23-Jul,21-Jul,297000,445500,IN000247,700001247,Sell,A
500248,CP500248A23,PRINCIPLE,NEW,SETTLED,298000,447000,23-Jul,21-Jul,298000,447000,US000248,700001248,Buy,B
500249,CP500249A24,PRINCIPLE,NEW,SETTLED,299000,448500,24-Jul,22-Jul,299000,448500,US000249,700001249,Sell,C
500250,CP500250A25,PRINCIPLE,NEW,SETTLED,300000,450000,24-Jul,22-Jul,300000,450000,EU000250,700001250,Buy,A
500251,CP500251A26,PRINCIPLE,NEW,SETTLED,301000,451500,25-Jul,23-Jul,301000,451500,EU000251,700001251,Sell,B
500252,CP500252A27,PRINCIPLE,NEW,SETTLED,302000,453000,25-Jul,23-Jul,302000,453000,IN000252,700001252,Buy,C
500253,CP500253A28,PRINCIPLE,NEW,SETTLED,303000,454500,26-Jul,24-Jul,303000,454500,IN000253,700001253,Sell,A
500254,CP500254A29,PRINCIPLE,NEW,SETTLED,304000,456000,26-Jul,24-Jul,304000,456000,US000254,700001254,Buy,B
500255,CP500255A30,PRINCIPLE,NEW,SETTLED,305000,457500,22-Jul,20-Jul,305000,457500,US000255,700001255,Sell,C
500256,CP500256A31,PRINCIPLE,NEW,SETTLED,306000,459000,22-Jul,20-Jul,306000,459000,EU000256,700001256,Buy,A
500257,CP500257A32,PRINCIPLE,NEW,SETTLED,307000,460500,21-Jul,19-Jul,307000,460500,EU000257,700001257,Sell,B
500258,CP500258A33,PRINCIPLE,NEW,SETTLED,308000,462000,21-Jul,19-Jul,308000,462000,IN000258,700001258,Buy,C
500259,CP500259A34,PRINCIPLE,NEW,SETTLED,309000,463500,22-Jul,20-Jul,309000,463500,IN000259,700001259,Sell,A
500260,CP500260A35,PRINCIPLE,NEW,SETTLED,310000,465000,22-Jul,20-Jul,310000,465000,US000260,700001260,Buy,B
500261,CP500261A36,PRINCIPLE,NEW,SETTLED,311000,466500,23-Jul,21-Jul,311000,466500,US000261,700001261,Sell,C
500262,CP500262A37,PRINCIPLE,NEW,SETTLED,312000,468000,23-Jul,21-Jul,312000,468000,EU000262,700001262,Buy,A
500263,CP500263A38,PRINCIPLE,NEW,SETTLED,313000,469500,24-Jul,22-Jul,313000,469500,EU000263,700001263,Sell,B
500264,CP500264A39,PRINCIPLE,NEW,SETTLED,314000,471000,24-Jul,22-Jul,314000,471000,IN000264,700001264,Buy,C
500265,CP500265A40,PRINCIPLE,NEW,SETTLED,315000,472500,25-Jul,23-Jul,315000,472500,IN000265,700001265,Sell,A
500266,CP500266A41,PRINCIPLE,NEW,SETTLED,316000,474000,25-Jul,23-Jul,316000,474000,US000266,700001266,Buy,B
500267,CP500267A42,PRINCIPLE,NEW,SETTLED,317000,475500,26-Jul,24-Jul,317000,475500,US000267,700001267,Sell,C
500268,CP500268A43,PRINCIPLE,NEW,SETTLED,318000,477000,26-Jul,24-Jul,318000,477000,EU000268,700001268,Buy,A
500269,CP500269A44,PRINCIPLE,NEW,SETTLED,319000,478500,22-Jul,20-Jul,319000,478500,EU000269,700001269,Sell,B
500270,CP500270A45,PRINCIPLE,NEW,SETTLED,320000,480000,22-Jul,20-Jul,320000,480000,IN000270,700001270,Buy,C
500271,CP500271A46,PRINCIPLE,NEW,SETTLED,321000,481500,21-Jul,19-Jul,321000,481500,IN000271,700001271,Sell,A
500272,CP500272A47,PRINCIPLE,NEW,SETTLED,322000,483000,21-Jul,19-Jul,322000,483000,US000272,700001272,Buy,B
500273,CP500273A48,PRINCIPLE,NEW,SETTLED,323000,484500,22-Jul,20-Jul,323000,484500,US000273,700001273,Sell,C
500274,CP500274A49,PRINCIPLE,NEW,SETTLED,324000,486000,22-Jul,20-Jul,324000,486000,EU000274,700001274,Buy,A
500275,CP500275A50,PRINCIPLE,NEW,SETTLED,325000,487500,23-Jul,21-Jul,325000,487500,EU000275,700001275,Sell,B
500276,CP500276A51,PRINCIPLE,NEW,SETTLED,326000,489000,23-Jul,21-Jul,326000,489000,IN000276,700001276,Buy,C
500277,CP500277A52,PRINCIPLE,NEW,SETTLED,327000,490500,24-Jul,22-Jul,327000,490500,IN000277,700001277,Sell,A
500278,CP500278A53,PRINCIPLE,NEW,SETTLED,328000,492000,24-Jul,22-Jul,328000,492000,US000278,700001278,Buy,B
500279,CP500279A54,PRINCIPLE,NEW,SETTLED,329000,493500,25-Jul,23-Jul,329000,493500,US000279,700001279,Sell,C
500280,CP500280A55,PRINCIPLE,NEW,SETTLED,330000,495000,25-Jul,23-Jul,330000,495000,EU000280,700001280,Buy,A
500281,CP500281A56,PRINCIPLE,NEW,SETTLED,331000,496500,26-Jul,24-Jul,331000,496500,EU000281,700001281,Sell,B
500282,CP500282A57,PRINCIPLE,NEW,SETTLED,332000,498000,26-Jul,24-Jul,332000,498000,IN000282,700001282,Buy,C
500283,CP500283A58,PRINCIPLE,NEW,SETTLED,333000,499500,22-Jul,20-Jul,333000,499500,IN000283,700001283,Sell,A
500284,CP500284A59,PRINCIPLE,NEW,SETTLED,334000,501000,22-Jul,20-Jul,334000,501000,US000284,700001284,Buy,B
500285,CP500285A60,PRINCIPLE,NEW,SETTLED,335000,502500,21-Jul,19-Jul,335000,502500,US000285,700001285,Sell,C
500286,CP500286A61,PRINCIPLE,NEW,SETTLED,336000,504000,21-Jul,19-Jul,336000,504000,EU000286,700001286,Buy,A
500287,CP500287A62,PRINCIPLE,NEW,SETTLED,337000,505500,22-Jul,20-Jul,337000,505500,EU000287,700001287,Sell,B
500288,CP500288A63,PRINCIPLE,NEW,SETTLED,338000,507000,22-Jul,20-Jul,338000,507000,IN000288,700001288,Buy,C
500289,CP500289A64,PRINCIPLE,NEW,SETTLED,339000,508500,23-Jul,21-Jul,339000,508500,IN000289,700001289,Sell,A
500290,CP500290A65,PRINCIPLE,NEW,SETTLED,340000,510000,23-Jul,21-Jul,340000,510000,US000290,700001290,Buy,B
500291,CP500291A66,PRINCIPLE,NEW,SETTLED,341000,511500,24-Jul,22-Jul,341000,511500,US000291,700001291,Sell,C
500292,CP500292A67,PRINCIPLE,NEW,SETTLED,342000,513000,24-Jul,22-Jul,342000,513000,EU000292,700001292,Buy,A
500293,CP500293A68,PRINCIPLE,NEW,SETTLED,343000,514500,25-Jul,23-Jul,343000,514500,EU000293,700001293,Sell,B
500294,CP500294A69,PRINCIPLE,NEW,SETTLED,344000,516000,25-Jul,23-Jul,344000,516000,IN000294,700001294,Buy,C
500295,CP500295A70,PRINCIPLE,NEW,SETTLED,345000,517500,26-Jul,24-Jul,345000,517500,IN000295,700001295,Sell,A
500296,CP500296A71,PRINCIPLE,NEW,SETTLED,346000,519000,26-Jul,24-Jul,346000,519000,US000296,700001296,Buy,B
500297,CP500297A72,PRINCIPLE,NEW,SETTLED,347000,520500,22-Jul,20-Jul,347000,520500,US000297,700001297,Sell,C
500298,CP500298A73,PRINCIPLE,NEW,SETTLED,348000,522000,22-Jul,20-Jul,348000,522000,EU000298,700001298,Buy,A
500299,CP500299A74,PRINCIPLE,NEW,SETTLED,349000,523500,21-Jul,19-Jul,349000,523500,EU000299,700001299,Sell,B
500300,CP500300A75,PRINCIPLE,NEW,SETTLED,350000,525000,21-Jul,19-Jul,350000,525000,IN000300,700001300,Buy,C
500301,CP500301A76,PRINCIPLE,NEW,SETTLED,351000,526500,22-Jul,20-Jul,351000,526500,IN000301,700001301,Sell,A
500302,CP500302A77,PRINCIPLE,NEW,SETTLED,352000,528000,22-Jul,20-Jul,352000,528000,US000302,700001302,Buy,B
500303,CP500303A78,PRINCIPLE,NEW,SETTLED,353000,529500,23-Jul,21-Jul,353000,529500,US000303,700001303,Sell,C
500304,CP500304A79,PRINCIPLE,NEW,SETTLED,354000,531000,23-Jul,21-Jul,354000,531000,EU000304,700001304,Buy,A
500305,CP500305A80,PRINCIPLE,NEW,SETTLED,355000,532500,24-Jul,22-Jul,355000,532500,EU000305,700001305,Sell,B
500306,CP500306A81,PRINCIPLE,NEW,SETTLED,356000,534000,24-Jul,22-Jul,356000,534000,IN000306,700001306,Buy,C
500307,CP500307A82,PRINCIPLE,NEW,SETTLED,357000,535500,25-Jul,23-Jul,357000,535500,IN000307,700001307,Sell,A
500308,CP500308A83,PRINCIPLE,NEW,SETTLED,358000,537000,25-Jul,23-Jul,358000,537000,US000308,700001308,Buy,B
500309,CP500309A84,PRINCIPLE,NEW,SETTLED,359000,538500,26-Jul,24-Jul,359000,538500,US000309,700001309,Sell,C
500310,CP500310A85,PRINCIPLE,NEW,SETTLED,360000,540000,26-Jul,24-Jul,360000,540000,EU000310,700001310,Buy,A
500311,CP500311A86,PRINCIPLE,NEW,SETTLED,361000,541500,22-Jul,20-Jul,361000,541500,EU000311,700001311,Sell,B
500312,CP500312A87,PRINCIPLE,NEW,SETTLED,362000,543000,22-Jul,20-Jul,362000,543000,IN000312,700001312,Buy,C
500313,CP500313A88,PRINCIPLE,NEW,SETTLED,363000,544500,21-Jul,19-Jul,363000,544500,IN000313,700001313,Sell,A
500314,CP500314A89,PRINCIPLE,NEW,SETTLED,364000,546000,21-Jul,19-Jul,364000,546000,US000314,700001314,Buy,B
500315,CP500315A90,PRINCIPLE,NEW,SETTLED,365000,547500,22-Jul,20-Jul,365000,547500,US000315,700001315,Sell,C
500316,CP500316A91,PRINCIPLE,NEW,SETTLED,366000,549000,22-Jul,20-Jul,366000,549000,EU000316,700001316,Buy,A
500317,CP500317A92,PRINCIPLE,NEW,SETTLED,367000,550500,23-Jul,21-Jul,367000,550500,EU000317,700001317,Sell,B
500318,CP500318A93,PRINCIPLE,NEW,SETTLED,368000,552000,23-Jul,21-Jul,368000,552000,IN000318,700001318,Buy,C
500319,CP500319A94,PRINCIPLE,NEW,SETTLED,369000,553500,24-Jul,22-Jul,369000,553500,IN000319,700001319,Sell,A
500320,CP500320A95,PRINCIPLE,NEW,SETTLED,370000,555000,24-Jul,22-Jul,370000,555000,US000320,700001320,Buy,B
500321,CP500321A96,PRINCIPLE,NEW,SETTLED,371000,556500,25-Jul,23-Jul,371000,556500,US000321,700001321,Sell,C
500322,CP500322A97,PRINCIPLE,NEW,SETTLED,372000,558000,25-Jul,23-Jul,372000,558000,EU000322,700001322,Buy,A
500323,CP500323A98,PRINCIPLE,NEW,SETTLED,373000,559500,26-Jul,24-Jul,373000,559500,EU000323,700001323,Sell,B
500324,CP500324A99,PRINCIPLE,NEW,SETTLED,374000,561000,26-Jul,24-Jul,374000,561000,IN000324,700001324,Buy,C
500325,CP500325B10,PRINCIPLE,NEW,SETTLED,375000,562500,22-Jul,20-Jul,375000,562500,IN000325,700001325,Sell,A
500326,CP500326B11,PRINCIPLE,NEW,SETTLED,376000,564000,22-Jul,20-Jul,376000,564000,US000326,700001326,Buy,B
500327,CP500327B12,PRINCIPLE,NEW,SETTLED,377000,565500,21-Jul,19-Jul,377000,565500,US000327,700001327,Sell,C
500328,CP500328B13,PRINCIPLE,NEW,SETTLED,378000,567000,21-Jul,19-Jul,378000,567000,EU000328,700001328,Buy,A
500329,CP500329B14,PRINCIPLE,NEW,SETTLED,379000,568500,22-Jul,20-Jul,379000,568500,EU000329,700001329,Sell,B
500330,CP500330B15,PRINCIPLE,NEW,SETTLED,380000,570000,22-Jul,20-Jul,380000,570000,IN000330,700001330,Buy,C
500331,CP500331B16,PRINCIPLE,NEW,SETTLED,381000,571500,23-Jul,21-Jul,381000,571500,IN000331,700001331,Sell,A
500332,CP500332B17,PRINCIPLE,NEW,SETTLED,382000,573000,23-Jul,21-Jul,382000,573000,US000332,700001332,Buy,B
500333,CP500333B18,PRINCIPLE,NEW,SETTLED,383000,574500,24-Jul,22-Jul,383000,574500,US000333,700001333,Sell,C
500334,CP500334B19,PRINCIPLE,NEW,SETTLED,384000,576000,24-Jul,22-Jul,384000,576000,EU000334,700001334,Buy,A
500335,CP500335B20,PRINCIPLE,NEW,SETTLED,385000,577500,25-Jul,23-Jul,385000,577500,EU000335,700001335,Sell,B
500336,CP500336B21,PRINCIPLE,NEW,SETTLED,386000,579000,25-Jul,23-Jul,386000,579000,IN000336,700001336,Buy,C
500337,CP500337B22,PRINCIPLE,NEW,SETTLED,387000,580500,26-Jul,24-Jul,387000,580500,IN000337,700001337,Sell,A
500338,CP500338B23,PRINCIPLE,NEW,SETTLED,388000,582000,26-Jul,24-Jul,388000,582000,US000338,700001338,Buy,B
500339,CP500339B24,PRINCIPLE,NEW,SETTLED,389000,583500,22-Jul,20-Jul,389000,583500,US000339,700001339,Sell,C
500340,CP500340B25,PRINCIPLE,NEW,SETTLED,390000,585000,22-Jul,20-Jul,390000,585000,EU000340,700001340,Buy,A
500341,CP500341B26,PRINCIPLE,NEW,SETTLED,391000,586500,21-Jul,19-Jul,391000,586500,EU000341,700001341,Sell,B
500342,CP500342B27,PRINCIPLE,NEW,SETTLED,392000,588000,21-Jul,19-Jul,392000,588000,IN000342,700001342,Buy,C
500343,CP500343B28,PRINCIPLE,NEW,SETTLED,393000,589500,22-Jul,20-Jul,393000,589500,IN000343,700001343,Sell,A
500344,CP500344B29,PRINCIPLE,NEW,SETTLED,394000,591000,22-Jul,20-Jul,394000,591000,US000344,700001344,Buy,B
500345,CP500345B30,PRINCIPLE,NEW,SETTLED,395000,592500,23-Jul,21-Jul,395000,592500,US000345,700001345,Sell,C
500346,CP500346B31,PRINCIPLE,NEW,SETTLED,396000,594000,23-Jul,21-Jul,396000,594000,EU000346,700001346,Buy,A
500347,CP500347B32,PRINCIPLE,NEW,SETTLED,397000,595500,24-Jul,22-Jul,397000,595500,EU000347,700001347,Sell,B
500348,CP500348B33,PRINCIPLE,NEW,SETTLED,398000,597000,24-Jul,22-Jul,398000,597000,IN000348,700001348,Buy,C
500349,CP500349B34,PRINCIPLE,NEW,SETTLED,399000,598500,25-Jul,23-Jul,399000,598500,IN000349,700001349,Sell,A
500350,CP500350B35,PRINCIPLE,NEW,SETTLED,400000,600000,25-Jul,23-Jul,400000,600000,US000350,700001350,Buy,B
500351,CP500351B36,PRINCIPLE,NEW,SETTLED,401000,601500,26-Jul,24-Jul,401000,601500,US000351,700001351,Sell,C
500352,CP500352B37,PRINCIPLE,NEW,SETTLED,402000,603000,26-Jul,24-Jul,402000,603000,EU000352,700001352,Buy,A
500353,CP500353B38,PRINCIPLE,NEW,SETTLED,403000,604500,22-Jul,20-Jul,403000,604500,EU000353,700001353,Sell,B
500354,CP500354B39,PRINCIPLE,NEW,SETTLED,404000,606000,22-Jul,20-Jul,404000,606000,IN000354,700001354,Buy,C
500355,CP500355B40,PRINCIPLE,NEW,SETTLED,405000,607500,21-Jul,19-Jul,405000,607500,IN000355,700001355,Sell,A
500356,CP500356B41,PRINCIPLE,NEW,SETTLED,406000,609000,21-Jul,19-Jul,406000,609000,US000356,700001356,Buy,B
500357,CP500357B42,PRINCIPLE,NEW,SETTLED,407000,610500,22-Jul,20-Jul,407000,610500,US000357,700001357,Sell,C
500358,CP500358B43,PRINCIPLE,NEW,SETTLED,408000,612000,22-Jul,20-Jul,408000,612000,EU000358,700001358,Buy,A
500359,CP500359B44,PRINCIPLE,NEW,SETTLED,409000,613500,23-Jul,21-Jul,409000,613500,EU000359,700001359,Sell,B
500360,CP500360B45,PRINCIPLE,NEW,SETTLED,410000,615000,23-Jul,21-Jul,410000,615000,IN000360,700001360,Buy,C
500361,CP500361B46,PRINCIPLE,NEW,SETTLED,411000,616500,24-Jul,22-Jul,411000,616500,IN000361,700001361,Sell,A
500362,CP500362B47,PRINCIPLE,NEW,SETTLED,412000,618000,24-Jul,22-Jul,412000,618000,US000362,700001362,Buy,B
500363,CP500363B48,PRINCIPLE,NEW,SETTLED,413000,619500,25-Jul,23-Jul,413000,619500,US000363,700001363,Sell,C
500364,CP500364B49,PRINCIPLE,NEW,SETTLED,414000,621000,25-Jul,23-Jul,414000,621000,EU000364,700001364,Buy,A
500365,CP500365B50,PRINCIPLE,NEW,SETTLED,415000,622500,26-Jul,24-Jul,415000,622500,EU000365,700001365,Sell,B
500366,CP500366B51,PRINCIPLE,NEW,SETTLED,416000,624000,26-Jul,24-Jul,416000,624000,IN000366,700001366,Buy,C
500367,CP500367B52,PRINCIPLE,NEW,SETTLED,417000,625500,22-Jul,20-Jul,417000,625500,IN000367,700001367,Sell,A
500368,CP500368B53,PRINCIPLE,NEW,SETTLED,418000,627000,22-Jul,20-Jul,418000,627000,US000368,700001368,Buy,B
500369,CP500369B54,PRINCIPLE,NEW,SETTLED,419000,628500,21-Jul,19-Jul,419000,628500,US000369,700001369,Sell,C
500370,CP500370B55,PRINCIPLE,NEW,SETTLED,420000,630000,21-Jul,19-Jul,420000,630000,EU000370,700001370,Buy,A
500371,CP500371B56,PRINCIPLE,NEW,SETTLED,421000,631500,22-Jul,20-Jul,421000,631500,EU000371,700001371,Sell,B
500372,CP500372B57,PRINCIPLE,NEW,SETTLED,422000,633000,22-Jul,20-Jul,422000,633000,IN000372,700001372,Buy,C
500373,CP500373B58,PRINCIPLE,NEW,SETTLED,423000,634500,23-Jul,21-Jul,423000,634500,IN000373,700001373,Sell,A
500374,CP500374B59,PRINCIPLE,NEW,SETTLED,424000,636000,23-Jul,21-Jul,424000,636000,US000374,700001374,Buy,B
500375,CP500375B60,PRINCIPLE,NEW,SETTLED,425000,637500,24-Jul,22-Jul,425000,637500,US000375,700001375,Sell,C
500376,CP500376B61,PRINCIPLE,NEW,SETTLED,426000,639000,24-Jul,22-Jul,426000,639000,EU000376,700001376,Buy,A
500377,CP500377B62,PRINCIPLE,NEW,SETTLED,427000,640500,25-Jul,23-Jul,427000,640500,EU000377,700001377,Sell,B
500378,CP500378B63,PRINCIPLE,NEW,SETTLED,428000,642000,25-Jul,23-Jul,428000,642000,IN000378,700001378,Buy,C
500379,CP500379B64,PRINCIPLE,NEW,SETTLED,429000,643500,26-Jul,24-Jul,429000,643500,IN000379,700001379,Sell,A
500380,CP500380B65,PRINCIPLE,NEW,SETTLED,430000,645000,26-Jul,24-Jul,430000,645000,US000380,700001380,Buy,B
500381,CP500381B66,PRINCIPLE,NEW,SETTLED,431000,646500,22-Jul,20-Jul,431000,646500,US000381,700001381,Sell,C
500382,CP500382B67,PRINCIPLE,NEW,SETTLED,432000,648000,22-Jul,20-Jul,432000,648000,EU000382,700001382,Buy,A
500383,CP500383B68,PRINCIPLE,NEW,SETTLED,433000,649500,21-Jul,19-Jul,433000,649500,EU000383,700001383,Sell,B
500384,CP500384B69,PRINCIPLE,NEW,SETTLED,434000,651000,21-Jul,19-Jul,434000,651000,IN000384,700001384,Buy,C
500385,CP500385B70,PRINCIPLE,NEW,SETTLED,435000,652500,22-Jul,20-Jul,435000,652500,IN000385,700001385,Sell,A
500386,CP500386B71,PRINCIPLE,NEW,SETTLED,436000,654000,22-Jul,20-Jul,436000,654000,US000386,700001386,Buy,B
500387,CP500387B72,PRINCIPLE,NEW,SETTLED,437000,655500,23-Jul,21-Jul,437000,655500,US000387,700001387,Sell,C
500388,CP500388B73,PRINCIPLE,NEW,SETTLED,438000,657000,23-Jul,21-Jul,438000,657000,EU000388,700001388,Buy,A
500389,CP500389B74,PRINCIPLE,NEW,SETTLED,439000,658500,24-Jul,22-Jul,439000,658500,EU000389,700001389,Sell,B
500390,CP500390B75,PRINCIPLE,NEW,SETTLED,440000,660000,24-Jul,22-Jul,440000,660000,IN000390,700001390,Buy,C
500391,CP500391B76,PRINCIPLE,NEW,SETTLED,441000,661500,25-Jul,23-Jul,441000,661500,IN000391,700001391,Sell,A
500392,CP500392B77,PRINCIPLE,NEW,SETTLED,442000,663000,25-Jul,23-Jul,442000,663000,US000392,700001392,Buy,B
500393,CP500393B78,PRINCIPLE,NEW,SETTLED,443000,664500,26-Jul,24-Jul,443000,664500,US000393,700001393,Sell,C
500394,CP500394B79,PRINCIPLE,NEW,SETTLED,444000,666000,26-Jul,24-Jul,444000,666000,EU000394,700001394,Buy,A
500395,CP500395B80,PRINCIPLE,NEW,SETTLED,445000,667500,22-Jul,20-Jul,445000,667500,EU000395,700001395,Sell,B
500396,CP500396B81,PRINCIPLE,NEW,SETTLED,446000,669000,22-Jul,20-Jul,446000,669000,IN000396,700001396,Buy,C
500397,CP500397B82,PRINCIPLE,NEW,SETTLED,447000,670500,21-Jul,19-Jul,447000,670500,IN000397,700001397,Sell,A
500398,CP500398B83,PRINCIPLE,NEW,SETTLED,448000,672000,21-Jul,19-Jul,448000,672000,US000398,700001398,Buy,B
500399,CP500399B84,PRINCIPLE,NEW,SETTLED,449000,673500,22-Jul,20-Jul,449000,673500,US000399,700001399,Sell,C
500400,CP500400B85,PRINCIPLE,NEW,SETTLED,450000,675000,22-Jul,20-Jul,450000,675000,EU000400,700001400,Buy,A
500401,CP500401B86,PRINCIPLE,NEW,SETTLED,451000,676500,23-Jul,21-Jul,451000,676500,EU000401,700001401,Sell,B
500402,CP500402B87,PRINCIPLE,NEW,SETTLED,452000,678000,23-Jul,21-Jul,452000,678000,IN000402,700001402,Buy,C
500403,CP500403B88,PRINCIPLE,NEW,SETTLED,453000,679500,24-Jul,22-Jul,453000,679500,IN000403,700001403,Sell,A
500404,CP500404B89,PRINCIPLE,NEW,SETTLED,454000,681000,24-Jul,22-Jul,454000,681000,US000404,700001404,Buy,B
500405,CP500405B90,PRINCIPLE,NEW,SETTLED,455000,682500,25-Jul,23-Jul,455000,682500,US000405,700001405,Sell,C
500406,CP500406B91,PRINCIPLE,NEW,SETTLED,456000,684000,25-Jul,23-Jul,456000,684000,EU000406,700001406,Buy,A
500407,CP500407B92,PRINCIPLE,NEW,SETTLED,457000,685500,26-Jul,24-Jul,457000,685500,EU000407,700001407,Sell,B
500408,CP500408B93,PRINCIPLE,NEW,SETTLED,458000,687000,26-Jul,24-Jul,458000,687000,IN000408,700001408,Buy,C
